stop_id,stop_name,stop_lat,stop_lon
466,Great N Junction,-15.37553488,28.27759128
467,Great N Junction,-15.37673609,28.27728625
468,Subani Fuel Station - Great N,-15.38007209,28.27919081
469,Subani Fuel Station - Great N,-15.37983851,28.27926885
470,Mandevu,-15.37314,28.283786
471,Shoprite - Kabanana Rd,-15.3538622,28.2811155
472,Mainway - Kabanana Rd,-15.35314026,28.28353894
473,Zambeef - Kabanana Rd,-15.35250088,28.28568282
474,Chalo Banthu,-15.35146422,28.28810404
475,Kwacha Butchery - Kabanana Rd,-15.35018049,28.2886193
476,Chazanga Market,-15.34623616,28.29031874
477,Corner Star,-15.34376719,28.29143835
478,Chimutengo Bar,-15.34383518,28.29446174
479,Mandevu Police Post,-15.37423501,28.28345412
480,Church of God - Mandevu,-15.37505136,28.28112176
481,Woodlands Container,-15.447137,28.356943
482,St Johns Hospital,-15.44367275,28.35368462
483,Tidye Nyama Restaurant,-15.4446511,28.3546591
484,Woodlands Stadium,-15.44706151,28.34689404
485,Woodlands B Football Ground,-15.44525869,28.35049963
486,Chilumbulu,-15.44540381,28.34568116
487,Chilumbulu,-15.44537957,28.34574112
489,Chaisa,-15.38350883,28.27977437
490,Chaisa,-15.38362241,28.27988886
491,Masiye,-15.38988537,28.28013057
492,Masiye,-15.38990675,28.28002878
493,Sheki Sheki,-15.39537048,28.27953152
494,Sheki Sheki,-15.39534552,28.27963068
495,C H,-15.39800271,28.27912049
496,C H,-15.39773345,28.27926801
497,Chanda Musonda,-15.40112099,28.27875628
498,Chanda Musonda,-15.40113804,28.27884378
499,Imapala - Great N,-15.407119,28.279708
500,Imapala - Great N,-15.407172,28.279614
501,Justin Kabwe School,-15.37419627,28.28782334
502,Ucz Church,-15.37224834,28.28842866
503,Petroda - Kasangula Rd,-15.369882,28.289164
504,Shokaz,-15.370494,28.291094
505,First Bus Stop - Garden Chilulu,-15.36906193,28.29210302
506,Chipata Big Market,-15.3661615,28.29473565
507,Big Market Entrance,-15.36505029,28.29577643
508,Chipata Police Post,-15.36283521,28.29764287
509,Vubu Road,-15.38696407,28.28007524
510,Vubu Road,-15.38701619,28.28016924
511,Sewage East - Garden Park,-15.37903538,28.29123418
512,Sewerage Plan Southeast,-15.382199,28.29059
513,Assemblies Of God - Garden,-15.37526451,28.2932322
514,Sawasawa - Garden,-15.37427578,28.29417721
515,Mwaiyayi - Garden,-15.372502,28.2959
516,Highland Secondary Streetzone,-15.36058774,28.29985334
517,Zesco - Chibalta,-15.3595417,28.30056887
518,Cornerstone - Chibalta,-15.35720567,28.30115165
519,Transformer - Chipata,-15.35379809,28.30065302
520,T Junction - Chipata,-15.35137689,28.30115576
521,Kabanana Police Post,-15.35156013,28.30315132
522,Highland Bus Stop,-15.35234954,28.30595529
523,Maplot Chipata,-15.35398267,28.30763539
524,Chazanga Basic School,-15.3442,28.298019
525,Chekana - Kabanana Rd,-15.340974,28.302948
526,Angels Medical Clinic - Kabanana Rd,-15.34377861,28.30034661
527,Kabanana,-15.3316216,28.32033788
528,Downhill School - Kabanana,-15.33324766,28.31728486
529,Three Hump,-15.33449543,28.3147554
530,Kabanana Primary School,-15.33572156,28.31228602
